order_id,order_date,order_time,city,pizza_name,category,size,quantity,price,delivery_time,payment_mode,customer_rating,total_amount
49,1/3/2024,0:00:00,Mumbai,Chicken Dominator,Veg,M,2,283,25,UPI,2,566
50,1/3/2024,1:00:00,Hyderabad,Chicken Dominator,Veg,L,2,316,25,Cash,2,632
51,1/3/2024,2:00:00,Chennai,Pepper Barbecue,Veg,M,4,399,54,UPI,3,1596
52,1/3/2024,3:00:00,Delhi,Farmhouse,Veg,M,2,221,35,Card,5,442
53,1/3/2024,4:00:00,Delhi,Veg Extravaganza,Non-Veg,M,4,418,27,Card,3,1672
54,1/3/2024,5:00:00,Mumbai,Margherita,Non-Veg,M,2,425,22,UPI,4,850
55,1/3/2024,6:00:00,Delhi,Peppy Paneer,Veg,M,3,470,24,Card,3,1410
56,1/3/2024,7:00:00,Pune,Chicken Dominator,Veg,S,1,588,40,UPI,1,588
57,1/3/2024,8:00:00,Delhi,Peppy Paneer,Veg,S,4,301,50,UPI,5,1204
58,1/3/2024,9:00:00,Hyderabad,Veg Extravaganza,Veg,S,3,344,33,Wallet,1,1032
59,1/3/2024,10:00:00,Hyderabad,Chicken Dominator,Veg,S,4,346,56,UPI,1,1384
60,1/3/2024,11:00:00,Hyderabad,Peppy Paneer,Veg,M,4,460,38,Card,3,1840
61,1/3/2024,12:00:00,Hyderabad,Veg Extravaganza,Veg,M,3,478,56,Card,3,1434
62,1/3/2024,13:00:00,Pune,Margherita,Veg,M,2,538,39,Card,2,1076
63,1/3/2024,14:00:00,Bangalore,Veg Extravaganza,Veg,S,4,213,21,UPI,1,852
64,1/3/2024,15:00:00,Chennai,Pepper Barbecue,Veg,M,1,465,26,Card,3,465
65,1/3/2024,16:00:00,Mumbai,Chicken Dominator,Non-Veg,S,1,486,52,UPI,2,486
66,1/3/2024,17:00:00,Hyderabad,Farmhouse,Veg,M,3,340,25,Card,1,1020
67,1/3/2024,18:00:00,Delhi,Margherita,Veg,L,1,582,26,Wallet,2,582
68,1/3/2024,19:00:00,Hyderabad,Peppy Paneer,Veg,S,3,492,37,UPI,5,1476
69,1/3/2024,20:00:00,Delhi,Chicken Dominator,Non-Veg,L,3,593,48,Cash,4,1779
70,1/3/2024,21:00:00,Chennai,Farmhouse,Non-Veg,L,4,230,38,UPI,1,920
71,1/3/2024,22:00:00,Chennai,Veg Extravaganza,Non-Veg,S,3,370,44,UPI,3,1110
72,1/3/2024,23:00:00,Chennai,Farmhouse,Veg,S,3,554,23,UPI,5,1662
73,1/4/2024,0:00:00,Delhi,Chicken Dominator,Veg,L,2,404,32,UPI,2,808
74,1/4/2024,1:00:00,Hyderabad,Chicken Dominator,Non-Veg,S,4,490,51,UPI,4,1960
75,1/4/2024,2:00:00,Chennai,Pepper Barbecue,Veg,L,1,310,46,UPI,1,310
76,1/4/2024,3:00:00,Pune,Pepper Barbecue,Veg,M,2,267,53,Card,4,534
77,1/4/2024,4:00:00,Delhi,Farmhouse,Non-Veg,S,2,382,47,UPI,5,764
78,1/4/2024,5:00:00,Delhi,Veg Extravaganza,Veg,S,4,572,28,UPI,4,2288
79,1/4/2024,6:00:00,Hyderabad,Farmhouse,Veg,M,4,395,27,UPI,1,1580
80,1/4/2024,7:00:00,Delhi,Chicken Dominator,Veg,M,2,325,40,Cash,5,650
81,1/4/2024,8:00:00,Delhi,Chicken Dominator,Veg,M,4,374,49,UPI,2,1496
82,1/4/2024,9:00:00,Chennai,Peppy Paneer,Veg,L,4,461,48,Wallet,1,1844
83,1/4/2024,10:00:00,Hyderabad,Pepper Barbecue,Non-Veg,L,3,574,28,UPI,4,1722
84,1/4/2024,11:00:00,Chennai,Peppy Paneer,Non-Veg,S,4,485,32,UPI,1,1940
85,1/4/2024,12:00:00,Chennai,Margherita,Veg,L,3,354,37,UPI,5,1062
86,1/4/2024,13:00:00,Hyderabad,Chicken Dominator,Non-Veg,L,2,268,57,UPI,4,536
87,1/4/2024,14:00:00,Mumbai,Peppy Paneer,Veg,L,2,307,41,Cash,2,614
88,1/4/2024,15:00:00,Chennai,Farmhouse,Veg,M,1,234,50,Card,3,234
89,1/4/2024,16:00:00,Pune,Pepper Barbecue,Non-Veg,L,4,558,54,UPI,2,2232
90,1/4/2024,17:00:00,Pune,Pepper Barbecue,Non-Veg,M,2,243,29,UPI,1,486
91,1/4/2024,18:00:00,Delhi,Veg Extravaganza,Non-Veg,M,3,342,28,UPI,3,1026
92,1/4/2024,19:00:00,Pune,Farmhouse,Non-Veg,L,2,410,50,Wallet,5,820
93,1/4/2024,20:00:00,Delhi,Veg Extravaganza,Non-Veg,S,4,484,59,Cash,4,1936
94,1/4/2024,21:00:00,Mumbai,Peppy Paneer,Non-Veg,S,1,205,43,UPI,4,205
95,1/4/2024,22:00:00,Hyderabad,Margherita,Veg,L,1,417,27,Card,5,417
96,1/4/2024,23:00:00,Hyderabad,Farmhouse,Non-Veg,S,2,226,39,Cash,1,452
97,1/5/2024,0:00:00,Hyderabad,Farmhouse,Non-Veg,L,1,426,36,Card,2,426
98,1/5/2024,1:00:00,Pune,Farmhouse,Non-Veg,L,4,483,47,Cash,3,1932
99,1/5/2024,2:00:00,Mumbai,Veg Extravaganza,Veg,S,4,588,25,Card,5,2352
100,1/5/2024,3:00:00,Pune,Peppy Paneer,Veg,M,1,255,52,UPI,1,255
101,1/5/2024,4:00:00,Pune,Farmhouse,Veg,L,3,567,47,Card,1,1701
102,1/5/2024,5:00:00,Mumbai,Farmhouse,Veg,M,1,509,20,Card,3,509
103,1/5/2024,6:00:00,Mumbai,Pepper Barbecue,Non-Veg,L,1,535,54,Card,5,535
104,1/5/2024,7:00:00,Mumbai,Margherita,Veg,L,2,304,43,UPI,2,608
105,1/5/2024,8:00:00,Mumbai,Pepper Barbecue,Veg,M,3,217,25,Card,2,651
106,1/5/2024,9:00:00,Hyderabad,Pepper Barbecue,Non-Veg,S,1,404,26,UPI,5,404
107,1/5/2024,10:00:00,Bangalore,Margherita,Veg,L,2,242,28,UPI,4,484
108,1/5/2024,11:00:00,Bangalore,Peppy Paneer,Veg,M,2,288,56,Card,2,576
109,1/5/2024,12:00:00,Mumbai,Pepper Barbecue,Veg,S,2,273,35,Card,4,546
110,1/5/2024,13:00:00,Bangalore,Peppy Paneer,Non-Veg,L,4,356,53,Card,5,1424
111,1/5/2024,14:00:00,Bangalore,Pepper Barbecue,Veg,L,2,465,54,Wallet,1,930
112,1/5/2024,15:00:00,Mumbai,Chicken Dominator,Non-Veg,M,2,333,54,Card,5,666
113,1/5/2024,16:00:00,Bangalore,Margherita,Veg,M,4,288,39,Card,1,1152
114,1/5/2024,17:00:00,Pune,Pepper Barbecue,Veg,M,4,435,42,Card,5,1740
115,1/5/2024,18:00:00,Delhi,Chicken Dominator,Veg,L,2,331,54,UPI,4,662
116,1/5/2024,19:00:00,Delhi,Veg Extravaganza,Non-Veg,L,1,428,42,Cash,4,428
117,1/5/2024,20:00:00,Mumbai,Chicken Dominator,Veg,L,3,233,23,UPI,5,699
118,1/5/2024,21:00:00,Hyderabad,Farmhouse,Veg,M,4,282,29,Card,1,1128
119,1/5/2024,22:00:00,Mumbai,Pepper Barbecue,Veg,L,3,331,30,UPI,5,993
120,1/5/2024,23:00:00,Hyderabad,Chicken Dominator,Non-Veg,L,4,553,59,UPI,1,2212
121,1/6/2024,0:00:00,Delhi,Peppy Paneer,Veg,S,2,403,28,UPI,4,806
122,1/6/2024,1:00:00,Mumbai,Veg Extravaganza,Non-Veg,S,4,486,59,Card,3,1944
123,1/6/2024,2:00:00,Chennai,Pepper Barbecue,Non-Veg,L,2,535,31,UPI,2,1070
124,1/6/2024,3:00:00,Pune,Farmhouse,Veg,S,3,515,36,UPI,4,1545
125,1/6/2024,4:00:00,Bangalore,Chicken Dominator,Veg,S,1,457,51,Card,5,457
126,1/6/2024,5:00:00,Hyderabad,Veg Extravaganza,Veg,S,2,491,42,UPI,5,982
127,1/6/2024,6:00:00,Chennai,Pepper Barbecue,Veg,M,3,324,34,UPI,1,972
128,1/6/2024,7:00:00,Bangalore,Veg Extravaganza,Veg,S,3,350,47,UPI,2,1050
129,1/6/2024,8:00:00,Bangalore,Farmhouse,Veg,M,4,558,57,Card,4,2232
130,1/6/2024,9:00:00,Mumbai,Chicken Dominator,Veg,L,2,446,24,Card,2,892
131,1/6/2024,10:00:00,Bangalore,Veg Extravaganza,Veg,L,3,374,59,Cash,2,1122
132,1/6/2024,11:00:00,Pune,Veg Extravaganza,Veg,L,1,571,37,UPI,4,571
133,1/6/2024,12:00:00,Chennai,Margherita,Veg,S,4,556,40,UPI,1,2224
134,1/6/2024,13:00:00,Bangalore,Veg Extravaganza,Non-Veg,L,4,501,34,UPI,1,2004
135,1/6/2024,14:00:00,Mumbai,Margherita,Non-Veg,L,3,279,22,Wallet,1,837
136,1/6/2024,15:00:00,Pune,Chicken Dominator,Non-Veg,M,2,306,45,Card,3,612
137,1/6/2024,16:00:00,Delhi,Pepper Barbecue,Veg,S,4,499,34,Card,2,1996
138,1/6/2024,17:00:00,Chennai,Pepper Barbecue,Veg,M,2,504,39,Wallet,3,1008
139,1/6/2024,18:00:00,Bangalore,Chicken Dominator,Veg,L,3,543,40,UPI,1,1629
140,1/6/2024,19:00:00,Mumbai,Chicken Dominator,Veg,M,3,257,45,UPI,4,771
141,1/6/2024,20:00:00,Delhi,Peppy Paneer,Veg,L,2,290,42,Card,2,580
142,1/6/2024,21:00:00,Delhi,Chicken Dominator,Non-Veg,M,1,334,44,Cash,4,334
143,1/6/2024,22:00:00,Hyderabad,Veg Extravaganza,Veg,M,4,549,23,Card,5,2196
144,1/6/2024,23:00:00,Pune,Pepper Barbecue,Veg,L,3,368,29,Cash,2,1104
145,1/7/2024,0:00:00,Bangalore,Farmhouse,Non-Veg,S,1,533,41,Card,4,533
146,1/7/2024,1:00:00,Mumbai,Pepper Barbecue,Veg,M,1,321,22,Cash,1,321
147,1/7/2024,2:00:00,Hyderabad,Margherita,Veg,L,2,435,38,Card,3,870
148,1/7/2024,3:00:00,Pune,Pepper Barbecue,Veg,L,2,598,50,UPI,4,1196
149,1/7/2024,4:00:00,Hyderabad,Peppy Paneer,Veg,S,2,275,28,Card,5,550
150,1/7/2024,5:00:00,Chennai,Chicken Dominator,Non-Veg,S,1,508,48,Card,1,508
151,1/7/2024,6:00:00,Pune,Chicken Dominator,Veg,M,4,222,56,Card,5,888
152,1/7/2024,7:00:00,Pune,Pepper Barbecue,Veg,L,2,532,26,UPI,3,1064
153,1/7/2024,8:00:00,Bangalore,Farmhouse,Non-Veg,M,4,272,57,UPI,5,1088
154,1/7/2024,9:00:00,Pune,Farmhouse,Non-Veg,M,2,287,43,UPI,4,574
155,1/7/2024,10:00:00,Hyderabad,Peppy Paneer,Non-Veg,S,1,302,27,Wallet,4,302
156,1/7/2024,11:00:00,Pune,Margherita,Non-Veg,L,4,293,53,UPI,1,1172
157,1/7/2024,12:00:00,Bangalore,Pepper Barbecue,Veg,L,4,515,45,Card,3,2060
158,1/7/2024,13:00:00,Bangalore,Chicken Dominator,Veg,L,1,465,47,Card,3,465
159,1/7/2024,14:00:00,Chennai,Pepper Barbecue,Veg,M,4,452,47,Cash,2,1808
160,1/7/2024,15:00:00,Hyderabad,Peppy Paneer,Veg,L,1,557,26,Cash,2,557
161,1/7/2024,16:00:00,Delhi,Veg Extravaganza,Non-Veg,M,1,257,22,Wallet,4,257
162,1/7/2024,17:00:00,Delhi,Veg Extravaganza,Non-Veg,M,3,598,41,Card,5,1794
163,1/7/2024,18:00:00,Pune,Peppy Paneer,Veg,L,2,208,57,Cash,5,416
164,1/7/2024,19:00:00,Chennai,Chicken Dominator,Veg,S,3,212,37,UPI,1,636
165,1/7/2024,20:00:00,Mumbai,Peppy Paneer,Veg,M,1,592,31,UPI,3,592
166,1/7/2024,21:00:00,Pune,Chicken Dominator,Non-Veg,L,1,330,50,Cash,4,330
167,1/7/2024,22:00:00,Chennai,Farmhouse,Veg,M,4,421,58,UPI,5,1684
168,1/7/2024,23:00:00,Hyderabad,Peppy Paneer,Non-Veg,S,1,528,24,Cash,2,528
169,1/8/2024,0:00:00,Hyderabad,Chicken Dominator,Non-Veg,M,1,571,48,UPI,4,571
170,1/8/2024,1:00:00,Hyderabad,Peppy Paneer,Non-Veg,M,1,352,55,UPI,1,352
171,1/8/2024,2:00:00,Hyderabad,Peppy Paneer,Non-Veg,L,2,580,33,UPI,4,1160
172,1/8/2024,3:00:00,Hyderabad,Chicken Dominator,Non-Veg,S,3,566,37,Card,5,1698
173,1/8/2024,4:00:00,Chennai,Chicken Dominator,Veg,L,3,270,26,UPI,1,810
174,1/8/2024,5:00:00,Chennai,Margherita,Veg,S,2,544,42,UPI,2,1088
175,1/8/2024,6:00:00,Bangalore,Peppy Paneer,Veg,S,2,219,52,Cash,2,438
176,1/8/2024,7:00:00,Delhi,Veg Extravaganza,Veg,S,2,280,35,Wallet,5,560
177,1/8/2024,8:00:00,Hyderabad,Peppy Paneer,Non-Veg,L,3,427,56,UPI,1,1281
178,1/8/2024,9:00:00,Mumbai,Peppy Paneer,Veg,S,3,545,44,Card,2,1635
179,1/8/2024,10:00:00,Chennai,Chicken Dominator,Non-Veg,L,1,218,28,Card,1,218
180,1/8/2024,11:00:00,Mumbai,Peppy Paneer,Veg,M,3,364,47,UPI,4,1092
181,1/8/2024,12:00:00,Mumbai,Pepper Barbecue,Veg,L,4,567,28,Card,3,2268
182,1/8/2024,13:00:00,Mumbai,Peppy Paneer,Non-Veg,L,3,586,31,Card,3,1758
183,1/8/2024,14:00:00,Bangalore,Pepper Barbecue,Veg,L,2,306,37,Card,3,612
184,1/8/2024,15:00:00,Chennai,Veg Extravaganza,Veg,L,3,576,46,Cash,2,1728
185,1/8/2024,16:00:00,Mumbai,Chicken Dominator,Veg,M,1,547,45,Card,5,547
186,1/8/2024,17:00:00,Hyderabad,Peppy Paneer,Non-Veg,L,3,413,45,UPI,3,1239
187,1/8/2024,18:00:00,Pune,Pepper Barbecue,Veg,S,2,438,29,Card,5,876
188,1/8/2024,19:00:00,Mumbai,Pepper Barbecue,Veg,S,4,346,36,Card,3,1384
189,1/8/2024,20:00:00,Bangalore,Pepper Barbecue,Veg,M,2,380,51,Card,4,760
190,1/8/2024,21:00:00,Chennai,Farmhouse,Non-Veg,M,4,535,43,Card,3,2140
191,1/8/2024,22:00:00,Bangalore,Margherita,Non-Veg,M,1,397,27,Card,5,397
192,1/8/2024,23:00:00,Mumbai,Veg Extravaganza,Veg,M,1,486,49,UPI,2,486
193,1/9/2024,0:00:00,Chennai,Peppy Paneer,Veg,M,3,252,45,UPI,4,756
194,1/9/2024,1:00:00,Pune,Farmhouse,Non-Veg,M,1,568,43,Card,5,568
195,1/9/2024,2:00:00,Mumbai,Peppy Paneer,Veg,S,1,439,46,Cash,1,439
196,1/9/2024,3:00:00,Bangalore,Peppy Paneer,Veg,L,2,489,34,UPI,3,978
197,1/9/2024,4:00:00,Delhi,Chicken Dominator,Veg,L,2,486,47,UPI,4,972
198,1/9/2024,5:00:00,Hyderabad,Chicken Dominator,Non-Veg,L,3,387,30,Card,2,1161
199,1/9/2024,6:00:00,Bangalore,Chicken Dominator,Veg,M,3,594,58,UPI,1,1782
200,1/9/2024,7:00:00,Chennai,Farmhouse,Veg,M,3,205,21,UPI,3,615
201,1/9/2024,8:00:00,Mumbai,Peppy Paneer,Non-Veg,L,3,482,28,Card,4,1446
202,1/9/2024,9:00:00,Hyderabad,Margherita,Non-Veg,L,2,462,42,UPI,5,924
203,1/9/2024,10:00:00,Mumbai,Veg Extravaganza,Veg,L,3,248,52,UPI,3,744
204,1/9/2024,11:00:00,Chennai,Chicken Dominator,Veg,M,3,551,38,UPI,4,1653
205,1/9/2024,12:00:00,Mumbai,Chicken Dominator,Non-Veg,M,1,399,32,Cash,3,399
206,1/9/2024,13:00:00,Delhi,Peppy Paneer,Non-Veg,L,3,259,33,UPI,4,777
207,1/9/2024,14:00:00,Hyderabad,Peppy Paneer,Non-Veg,S,4,232,51,Card,5,928
208,1/9/2024,15:00:00,Hyderabad,Farmhouse,Veg,M,1,502,41,Card,3,502
209,1/9/2024,16:00:00,Chennai,Farmhouse,Veg,L,2,443,39,Card,4,886
210,1/9/2024,17:00:00,Delhi,Chicken Dominator,Non-Veg,L,4,371,52,UPI,1,1484
211,1/9/2024,18:00:00,Bangalore,Peppy Paneer,Non-Veg,M,3,406,24,Card,2,1218
212,1/9/2024,19:00:00,Mumbai,Margherita,Veg,M,1,574,39,UPI,4,574
213,1/9/2024,20:00:00,Pune,Veg Extravaganza,Veg,L,3,482,33,UPI,4,1446
214,1/9/2024,21:00:00,Mumbai,Peppy Paneer,Non-Veg,M,1,221,46,UPI,4,221
215,1/9/2024,22:00:00,Mumbai,Peppy Paneer,Veg,L,3,246,45,UPI,3,738
216,1/9/2024,23:00:00,Bangalore,Pepper Barbecue,Veg,L,4,548,51,Cash,2,2192
217,1/10/2024,0:00:00,Mumbai,Farmhouse,Veg,L,2,357,49,Card,3,714
218,1/10/2024,1:00:00,Delhi,Veg Extravaganza,Veg,L,4,457,46,UPI,4,1828
219,1/10/2024,2:00:00,Delhi,Chicken Dominator,Veg,M,4,342,45,Wallet,4,1368
220,1/10/2024,3:00:00,Hyderabad,Peppy Paneer,Non-Veg,M,2,246,37,UPI,2,492
221,1/10/2024,4:00:00,Chennai,Chicken Dominator,Veg,M,1,226,42,Card,1,226
222,1/10/2024,5:00:00,Pune,Peppy Paneer,Veg,S,1,226,43,Cash,3,226
223,1/10/2024,6:00:00,Mumbai,Chicken Dominator,Veg,S,2,596,23,Cash,1,1192
224,1/10/2024,7:00:00,Mumbai,Veg Extravaganza,Veg,S,3,344,22,UPI,4,1032
225,1/10/2024,8:00:00,Bangalore,Farmhouse,Veg,L,1,274,49,Card,4,274
226,1/10/2024,9:00:00,Chennai,Veg Extravaganza,Veg,S,4,386,35,UPI,5,1544
227,1/10/2024,10:00:00,Delhi,Pepper Barbecue,Non-Veg,S,2,209,26,UPI,5,418
228,1/10/2024,11:00:00,Pune,Margherita,Veg,S,4,320,58,Card,1,1280
229,1/10/2024,12:00:00,Hyderabad,Farmhouse,Veg,M,1,488,41,Cash,5,488
230,1/10/2024,13:00:00,Delhi,Veg Extravaganza,Veg,S,2,364,50,UPI,2,728
231,1/10/2024,14:00:00,Chennai,Pepper Barbecue,Veg,M,2,581,32,UPI,1,1162
232,1/10/2024,15:00:00,Hyderabad,Margherita,Non-Veg,S,1,463,48,UPI,5,463
233,1/10/2024,16:00:00,Bangalore,Pepper Barbecue,Veg,L,1,360,47,UPI,5,360
234,1/10/2024,17:00:00,Bangalore,Peppy Paneer,Non-Veg,L,2,590,38,UPI,2,1180
235,1/10/2024,18:00:00,Mumbai,Peppy Paneer,Veg,L,3,526,42,Wallet,2,1578
236,1/10/2024,19:00:00,Chennai,Chicken Dominator,Non-Veg,M,2,590,27,UPI,1,1180
237,1/10/2024,20:00:00,Pune,Farmhouse,Veg,M,3,496,44,UPI,3,1488
238,1/10/2024,21:00:00,Hyderabad,Peppy Paneer,Non-Veg,M,4,317,57,Card,2,1268
239,1/10/2024,22:00:00,Delhi,Pepper Barbecue,Veg,M,3,510,57,Cash,5,1530
240,1/10/2024,23:00:00,Chennai,Farmhouse,Veg,M,3,462,54,Cash,1,1386
241,1/11/2024,0:00:00,Chennai,Peppy Paneer,Non-Veg,S,1,283,45,Card,3,283
242,1/11/2024,1:00:00,Bangalore,Chicken Dominator,Non-Veg,L,2,345,22,UPI,1,690
243,1/11/2024,2:00:00,Mumbai,Veg Extravaganza,Veg,S,4,370,21,Cash,5,1480
244,1/11/2024,3:00:00,Mumbai,Chicken Dominator,Veg,M,2,533,24,Card,3,1066
245,1/11/2024,4:00:00,Hyderabad,Margherita,Veg,M,3,508,39,Card,3,1524
246,1/11/2024,5:00:00,Bangalore,Peppy Paneer,Non-Veg,M,3,213,31,Wallet,2,639
247,1/11/2024,6:00:00,Chennai,Margherita,Veg,L,3,348,57,Cash,4,1044
248,1/11/2024,7:00:00,Pune,Margherita,Veg,M,2,568,35,Cash,5,1136
249,1/11/2024,8:00:00,Bangalore,Pepper Barbecue,Non-Veg,M,3,450,56,UPI,4,1350
250,1/11/2024,9:00:00,Hyderabad,Farmhouse,Non-Veg,M,2,256,57,Card,5,512
251,1/11/2024,10:00:00,Hyderabad,Pepper Barbecue,Non-Veg,S,4,546,55,Wallet,1,2184
252,1/11/2024,11:00:00,Bangalore,Peppy Paneer,Non-Veg,M,4,501,48,Card,4,2004
253,1/11/2024,12:00:00,Hyderabad,Margherita,Non-Veg,L,2,546,54,UPI,3,1092
254,1/11/2024,13:00:00,Bangalore,Veg Extravaganza,Veg,L,4,332,56,Card,2,1328
255,1/11/2024,14:00:00,Delhi,Margherita,Veg,L,1,369,40,UPI,5,369
256,1/11/2024,15:00:00,Bangalore,Veg Extravaganza,Non-Veg,S,3,301,40,Card,2,903
257,1/11/2024,16:00:00,Bangalore,Pepper Barbecue,Veg,S,3,305,47,Cash,5,915
258,1/11/2024,17:00:00,Hyderabad,Pepper Barbecue,Non-Veg,M,3,370,25,UPI,3,1110
259,1/11/2024,18:00:00,Hyderabad,Farmhouse,Veg,L,1,327,39,UPI,3,327
260,1/11/2024,19:00:00,Mumbai,Margherita,Veg,L,3,449,55,UPI,3,1347
261,1/11/2024,20:00:00,Mumbai,Chicken Dominator,Non-Veg,L,2,231,32,Cash,3,462
262,1/11/2024,21:00:00,Delhi,Pepper Barbecue,Non-Veg,M,3,415,59,Card,3,1245
263,1/11/2024,22:00:00,Mumbai,Pepper Barbecue,Veg,S,2,461,30,Card,2,922
264,1/11/2024,23:00:00,Bangalore,Farmhouse,Non-Veg,S,4,529,43,Card,1,2116
265,1/12/2024,0:00:00,Hyderabad,Veg Extravaganza,Non-Veg,S,2,443,38,UPI,4,886
266,1/12/2024,1:00:00,Mumbai,Farmhouse,Veg,M,2,590,42,UPI,2,1180
267,1/12/2024,2:00:00,Mumbai,Margherita,Veg,S,2,484,50,Card,4,968
268,1/12/2024,3:00:00,Delhi,Peppy Paneer,Non-Veg,L,3,489,56,Wallet,1,1467
269,1/12/2024,4:00:00,Chennai,Peppy Paneer,Non-Veg,M,1,462,56,UPI,5,462
270,1/12/2024,5:00:00,Delhi,Veg Extravaganza,Veg,M,1,536,22,UPI,1,536
271,1/12/2024,6:00:00,Bangalore,Pepper Barbecue,Non-Veg,S,2,532,53,UPI,1,1064
272,1/12/2024,7:00:00,Hyderabad,Veg Extravaganza,Non-Veg,S,3,513,48,Card,5,1539
273,1/12/2024,8:00:00,Delhi,Pepper Barbecue,Veg,L,1,284,22,UPI,4,284
274,1/12/2024,9:00:00,Mumbai,Pepper Barbecue,Non-Veg,M,4,528,34,Wallet,3,2112
